Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
GIBRALTAR_L_TERM10,0,1,51,51,TF,20000,300000,15.98
GIBRALTAR_L_TERM10,0,1,68,68,TC,20000,300000,52.83
GIBRALTAR_L_TERM10,0,0,26,26,TC,20000,300000,3.36
GIBRALTAR_L_TERM10,1,0,52,52,TF,20000,300000,9.53
GIBRALTAR_L_TERM10,0,1,38,38,ST,20000,300000,5.67
GIBRALTAR_L_TERM10,0,0,52,52,PP,20000,300000,4.19
GIBRALTAR_L_TERM10,0,0,53,53,TC,20000,300000,7.46
GIBRALTAR_L_TERM10,1,0,32,32,PP,20000,300000,2.38
GIBRALTAR_L_TERM10,1,1,64,64,PP,20000,300000,29.60
GIBRALTAR_L_TERM10,0,1,42,42,ST,20000,300000,6.85
GIBRALTAR_L_TERM10,0,0,56,56,PF,20000,300000,6.27
GIBRALTAR_L_TERM10,0,1,31,31,PF,20000,300000,3.98
GIBRALTAR_L_TERM10,0,1,68,68,ST,20000,300000,42.26
GIBRALTAR_L_TERM10,1,0,66,66,PF,20000,300000,17.31
GIBRALTAR_L_TERM10,1,0,65,65,PP,20000,300000,13.79
GIBRALTAR_L_TERM10,0,0,19,19,TC,20000,300000,1.36
GIBRALTAR_L_TERM10,0,1,38,38,PP,20000,300000,4.24
GIBRALTAR_L_TERM10,0,1,28,28,ST,20000,300000,4.27
GIBRALTAR_L_TERM10,0,0,45,45,PP,20000,300000,3.01
GIBRALTAR_L_TERM10,0,1,67,67,ST,20000,300000,39.87
GIBRALTAR_L_TERM10,0,1,54,54,ST,20000,300000,15.43
GIBRALTAR_L_TERM10,1,0,36,36,ST,20000,300000,3.43
GIBRALTAR_L_TERM10,0,1,68,68,TF,20000,300000,58.12
GIBRALTAR_L_TERM10,1,1,70,70,PF,20000,300000,49.52
GIBRALTAR_L_TERM10,1,1,53,53,TF,20000,300000,24.01
GIBRALTAR_L_TERM10,0,0,53,53,ST,20000,300000,5.97
GIBRALTAR_L_TERM10,0,0,67,67,PP,20000,300000,11.81
GIBRALTAR_L_TERM10,1,1,63,63,ST,20000,300000,36.60
GIBRALTAR_L_TERM10,1,1,41,41,PP,20000,300000,5.85
GIBRALTAR_L_TERM10,0,0,31,31,PP,20000,300000,2.09
GIBRALTAR_L_TERM10,0,1,35,35,TC,20000,300000,6.49
GIBRALTAR_L_TERM10,0,1,58,58,ST,20000,300000,20.50
GIBRALTAR_L_TERM10,1,0,32,32,TC,20000,300000,3.99
GIBRALTAR_L_TERM10,1,1,62,62,ST,20000,300000,33.76
GIBRALTAR_L_TERM10,0,1,18,18,TC,20000,300000,4.67
GIBRALTAR_L_TERM10,0,0,38,38,PF,20000,300000,2.75
GIBRALTAR_L_TERM10,1,1,44,44,ST,20000,300000,9.50
GIBRALTAR_L_TERM10,0,1,31,31,TC,20000,300000,5.68
GIBRALTAR_L_TERM10,1,1,59,59,TC,20000,300000,33.17
GIBRALTAR_L_TERM10,1,0,19,19,TC,20000,300000,3.66
GIBRALTAR_L_TERM10,0,0,64,64,TF,20000,300000,17.53
GIBRALTAR_L_TERM10,0,1,51,51,PF,20000,300000,10.18
GIBRALTAR_L_TERM10,0,1,42,42,TC,20000,300000,8.57
GIBRALTAR_L_TERM10,1,1,60,60,PF,20000,300000,24.54
GIBRALTAR_L_TERM10,1,1,34,34,PP,20000,300000,4.46
GIBRALTAR_L_TERM10,1,0,24,24,TC,20000,300000,3.75
GIBRALTAR_L_TERM10,0,0,41,41,PF,20000,300000,2.97
GIBRALTAR_L_TERM10,1,1,20,20,PF,20000,300000,4.07
GIBRALTAR_L_TERM10,0,0,25,25,TC,20000,300000,3.36
GIBRALTAR_L_TERM10,1,0,30,30,TC,20000,300000,3.84
GIBRALTAR_L_TERM10,0,1,49,49,TF,20000,300000,13.65
GIBRALTAR_L_TERM10,0,1,57,57,PP,20000,300000,14.43
GIBRALTAR_L_TERM10,1,1,49,49,ST,20000,300000,12.34
GIBRALTAR_L_TERM10,1,1,22,22,PF,20000,300000,4.15
GIBRALTAR_L_TERM10,1,1,57,57,TF,20000,300000,32.31
GIBRALTAR_L_TERM10,1,0,25,25,TC,20000,300000,3.76
GIBRALTAR_L_TERM10,0,0,42,42,TC,20000,300000,4.44
GIBRALTAR_L_TERM10,1,0,59,59,TF,20000,300000,14.98
GIBRALTAR_L_TERM10,1,0,23,23,PP,20000,300000,2.24
GIBRALTAR_L_TERM10,0,0,21,21,PP,20000,300000,1.97
GIBRALTAR_L_TERM10,1,1,68,68,PF,20000,300000,44.52
GIBRALTAR_L_TERM10,1,0,65,65,TF,20000,300000,25.29
GIBRALTAR_L_TERM10,0,0,22,22,PP,20000,300000,1.99
GIBRALTAR_L_TERM10,1,1,33,33,ST,20000,300000,5.73
